3.12, -3.14, 1.93, 0
0.93, 9.43, -0.66, 0
1.36, 4.24, 2.13, 0
4.00, 0.46, 1.36, 0
5.20, 3.51, -1.25, 0
4.41, -0.07, 2.04, 0
-1.58, 10.84, 2.55, 0
3.18, 7.23, -1.07, 0
4.64, -3.01, 2.68, 0
2.45, 2.97, 0.20, 0
3.90, 1.73, 1.60, 0
3.41, 5.40, -2.52, 0
-2.65, 10.14, -1.33, 0
2.69, 6.80, -0.40, 0
2.32, -2.63, 3.15, 0
2.81, 11.30, -3.34, 0
0.50, 10.22, -1.10, 0
1.10, 7.44, 0.41, 0
3.09, -2.92, 2.22, 0
0.50, 5.53, 1.78, 0
-0.27, 3.27, -3.56, 1
-1.86, -0.85, 2.54, 1
0.64, 3.76, -4.47, 1
-1.59, -2.16, 1.71, 1
-2.07, 0.17, -1.01, 1
-6.42, 9.53, 0.02, 1
-1.24, -1.72, -0.53, 1
0.89, 2.26, -3.10, 1
-2.13, 1.57, -0.08, 1
-4.21, 4.73, -0.49, 1
-4.23, 4.92, -0.49, 1
-0.37, 2.89, -3.65, 1
-6.52, 9.60, -0.25, 1
-0.71, -4.44, 2.22, 1
0.76, 0.29, -1.65, 1
-4.02, -8.30, 12.56, 1
-3.02, -0.67, 2.71, 1
-1.82, -9.04, 9.02, 1
-0.90, 2.03, -2.37, 1
-1.56, -2.21, 4.26, 1
