[[35.12		0.00	0.00	0.25 	0.00 	0.00 	0.12  	0.00 	0.00 	0.00]
 [0.00 		26.58 	1.88 	0.50 	0.36 	0.24 	0.70 	0.00 	2.66 	1.43]
 [0.00 		3.45 	31.60	0.54 	0.00 	0.00 	0.00  	0.00 	0.19 	0.15]
 [0.00 		0.00 	0.68 	30.88 	0.00 	0.01 	0.00  	0.00 	0.28 	1.44]
 [0.17 		0.18 	0.00 	0.00 	34.25 	0.38 	0.22  	0.26 	0.00 	0.26]
 [0.21 		0.17 	0.00 	0.42 	0.00 	32.04 	0.01  	0.00 	0.59 	0.67]
 [0.00 		0.36 	0.00 	0.23	0.00 	0.18 	34.92  	0.00 	0.20 	0.00]
 [0.00 		0.42 	0.22 	1.41 	1.28 	0.20 	0.00  	34.42 	0.41 	1.460]
 [0.07 		4.280 	0.81 	1.17 	0.53 	0.24 	0.27  	0.18 	28.16 	0.51]
 [0.00 		1.590 	0.52 	1.51 	0.00 	2.80 	0.00  	0.00 	1.83 	29.93]]
