Amount,QTY,Cost,Date Consolidated,ProductID
294.8117,66,140.08399999999997,2/28/2017,A100
322.053,147,73.43,2/28/2017,A1001
23.876400000000004,10,5.2589999999999995,2/28/2017,A1003
253.05020000000002,78,161.53799999999998,2/28/2017,A1004
39.184,27,25.606,2/28/2017,A1005
142.07199999999997,34,2.3560000000000003,2/28/2017,A1006
95.23240000000003,28,59.719,2/28/2017,A1007
281.54699999999997,62,180.29,2/28/2017,A1008
175.82,26,95.33500000000001,2/28/2017,A101
39.603,15,10.68,2/28/2017,A1010
21.012,7,14.253,2/28/2017,A1011
32.16,7,10.986,2/28/2017,A1012
160.11199999999997,26,66.69800000000001,2/28/2017,A1013
62.85040000000001,16,14.399,2/28/2017,A1014
94.632,14,14.097,2/28/2017,A1015
373.8380000000001,76,197.983,2/28/2017,A1016
750.2783999999999,137,516.8130000000001,2/28/2017,A1017
1858.2740000000003,393,1010.632,2/28/2017,A1018
643.9791000000001,108,409.803,2/28/2017,A1019
338.23130000000003,95,222.74799999999996,2/28/2017,A102
1104.5044999999998,260,704.5269999999999,2/28/2017,A1020
5.746999999999999,4,4.845,2/28/2017,A1021
196.58599999999998,50,36.733000000000004,2/28/2017,A1022
610.8728,98,336.12,2/28/2017,A1023
19932.012200000005,518,14979.454999999998,2/28/2017,A1024
8.134,7,4.634000000000001,2/28/2017,A1025
1.1389999999999998,2,0.818,2/28/2017,A1026
23.39,7,16.479,2/28/2017,A1027
107.4352,23,68.611,2/28/2017,A1028
445.10790000000003,64,280.449,2/28/2017,A1029
89.659,40,70.502,2/28/2017,A103
841.0158999999998,205,527.033,2/28/2017,A1030
231.64979999999997,34,123.92299999999999,2/28/2017,A1031
465.58790000000005,118,270.049,2/28/2017,A1032
19.965999999999998,5,11.399000000000001,2/28/2017,A1033
150.09920000000002,29,92.376,2/28/2017,A1034
2382.9324999999994,530,1170.5810000000006,2/28/2017,A1035
2325.3829000000014,354,1535.4019999999998,2/28/2017,A1036
66.558,10,30.6,2/28/2017,A1037
1.386,1,0.4,2/28/2017,A1038
3685.4099999999994,295,2419.326,2/28/2017,A1039
1648.0893,309,824.6350000000001,2/28/2017,A104
2271.846,163,1637.77,2/28/2017,A1040
19335.751300000007,1541,12393.411999999997,2/28/2017,A1041
2578.286,220,1649.1180000000002,2/28/2017,A1042
1951.5018000000002,186,1459.641,2/28/2017,A1043
1207.8239999999998,99,824.7359999999999,2/28/2017,A1044
4944.870000000001,625,3220.705,2/28/2017,A1045
15382.551,1491,10473.641000000005,2/28/2017,A1046
2884.4378,303,1966.9269999999997,2/28/2017,A1047
5808.474200000001,598,3911.0829999999996,2/28/2017,A1048
2356.2888,296,1542.892,2/28/2017,A1049
68.691,18,2.7769999999999992,2/28/2017,A105
498.2088,56,307.64,2/28/2017,A1050
14164.596999999996,1422,9188.242,2/28/2017,A1051
5127.783200000001,621,3184.8719999999994,2/28/2017,A1052
365.72200000000004,46,242.634,2/28/2017,A1053
18251.846899999997,1830,10799.117,2/28/2017,A1054
263.03399999999993,35,176.32600000000002,2/28/2017,A1055
6265.398800000001,622,4386.392,2/28/2017,A1056
906.6279,90,646.095,2/28/2017,A1057
27224.1977,3130,17327.291000000005,2/28/2017,A1058
173.1601,18,120.37799999999999,2/28/2017,A1059
15.709,9,9.544,2/28/2017,A106
5761.342000000002,663,3382.236,2/28/2017,A1060
5495.597299999999,599,3606.226,2/28/2017,A1061
9241.190700000001,1076,5868.211999999999,2/28/2017,A1062
5422.900300000001,2491,3363.272000000001,2/28/2017,A1063
555.526,55,498.19599999999997,2/28/2017,A1064
22711.15080000001,2563,14423.535999999998,2/28/2017,A1065
7254.094999999999,802,4888.716999999999,2/28/2017,A1066
1466.3995999999997,167,915.6690000000002,2/28/2017,A1067
23919.974000000006,2588,15140.485000000002,2/28/2017,A1068
1081.3279,117,649.113,2/28/2017,A1069
104.212,33,51.052,2/28/2017,A107
1285.2820000000004,157,837.1700000000002,2/28/2017,A1070
28.805,4,18.259,2/28/2017,A1071
2027.7610000000004,209,1085.8870000000002,2/28/2017,A1072
4165.543999999998,595,2391.5609999999997,2/28/2017,A1073
3639.3295,460,2427.0879999999984,2/28/2017,A1074
938.1170000000001,78,566.033,2/28/2017,A1075
366.585,157,196.3,2/28/2017,A1076
17247.226700000003,2110,10754.734000000002,2/28/2017,A1077
514.6687999999999,134,322.936,2/28/2017,A108
0.616,1,0.408,2/28/2017,A1084
59.659,10,33.734,2/28/2017,A1086
11.915,3,7.561,2/28/2017,A1088
61.006,25,46.343999999999994,2/28/2017,A1089
748.8223,479,545.4999999999999,2/28/2017,A109
1.536,1,1.14,2/28/2017,A1091
1301.6860000000001,99,780.8989999999999,2/28/2017,A1092
6.626,1,4.31,2/28/2017,A1094
25.695,26,14.104000000000001,2/28/2017,A1096
160.018,146,80.178,2/28/2017,A1098
13.552,2,0.0,2/28/2017,A1099
507.35479999999995,252,254.137,2/28/2017,A110
15.322000000000001,2,11.97,2/28/2017,A1101
52.4329,4,40.333,2/28/2017,A1102
15.360999999999999,7,10.936,2/28/2017,A1104
570.307,77,159.327,2/28/2017,A1106
320.947,28,131.469,2/28/2017,A1108
90.37100000000001,25,48.463,2/28/2017,A111
106.62799999999999,7,34.467,2/28/2017,A1110
58.0229,5,44.633,2/28/2017,A1112
561.444,44,431.88,2/28/2017,A1114
22.518,7,8.338,2/28/2017,A1116
136.38299999999998,17,90.944,2/28/2017,A1117
156.151,22,117.34100000000001,2/28/2017,A1119
126.254,42,86.267,2/28/2017,A112
5.3404,1,4.1080000000000005,2/28/2017,A1121
58.1659,5,44.743,2/28/2017,A1122
66.059,35,13.73,2/28/2017,A1124
20.925,3,7.3,2/28/2017,A1126
436.419,72,237.085,2/28/2017,A1128
62.501000000000005,9,13.48,2/28/2017,A113
58.486999999999995,19,30.592000000000002,2/28/2017,A1130
147.48899999999998,81,44.434,2/28/2017,A1132
100.006,13,76.73899999999999,2/28/2017,A1134
532.6698,40,409.746,2/28/2017,A1136
18.566,2,14.648,2/28/2017,A1137
201.68099999999998,26,139.34,2/28/2017,A1139
1794.8869000000007,1689,1005.4340000000001,2/28/2017,A114
56.696000000000005,11,43.381,2/28/2017,A1142
25.695999999999998,18,11.7,2/28/2017,A1143
119.95299999999999,14,69.464,2/28/2017,A1145
0.695,1,0.46,2/28/2017,A1147
21.535,5,14.31,2/28/2017,A1149
2768.0614000000005,2656,1007.964,2/28/2017,A115
5.6732,1,4.364,2/28/2017,A1151
1.685,1,0.866,2/28/2017,A1153
333.66400000000004,57,165.91199999999998,2/28/2017,A1154
261.229,83,182.33100000000002,2/28/2017,A1156
138.225,10,54.127,2/28/2017,A1158
